canonical_composer,canonical_title,split,year,midi_filename,audio_filename,duration,prompt,caption
Alexander Scriabin,Fantasy Op. 28 in B Minor,train,2013,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.wav,512.1642848,Composer:Alexander Scriabin;Title:Fantasy Op. 28 in B Minor,"The Fantasy Op. 28 in B Minor by Alexander Scriabin is a remarkable piano composition. In this piece, the key of B Minor plays a central role, evoking a sense of melancholy and tension throughout. The melody is hauntingly beautiful and showcases Scriabin's unique harmonic language, filled with lush chromaticism and rich textures. The style of this fantasy is characterized by its virtuosic passages and dramatic shifts in dynamics, adding to the intense emotional impact. The chord progressions in this piece often feature unexpected harmonic turns, creating a sense of unpredictability and adding to its compelling nature."
Alexander Scriabin,"Fantasy in B Minor, Op. 28",train,2011,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.wav,476.8064142,"Composer:Alexander Scriabin;Title:Fantasy in B Minor, Op. 28","Fantasy in B Minor, Op. 28 composed by Alexander Scriabin is a mesmerizing and expressive piano piece. In this key, the music carries a sense of melancholy and introspection. The melody is characterized by its passionate and evocative nature, often featuring sweeping, lyrical lines and intense emotional nuances. The composition is a fusion of late romantic and early impressionistic styles, showcasing Scriabin's unique harmonic language. It typically employs rich and colorful chord progressions, combining dissonance with moments of resolution, creating an ethereal and otherworldly atmosphere."
Alexander Scriabin,"Fantasy, Op. 28",train,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.wav,486.857152,"Composer:Alexander Scriabin;Title:Fantasy, Op. 28","""Fantasy, Op. 28"" by Alexander Scriabin is a breathtaking piano piece that showcases the composer's characteristic mystical and atmospheric style. The key is predominantly in F-sharp minor, and the melody exhibits a captivating blend of romantic and impressionistic elements. Scriabin's use of chromaticism and rich harmonies creates a sense of otherworldly beauty, while the piece alternates between moments of intense passion and ethereal tranquility. Typical chord progressions include the use of suspensions and augmented harmonies, enhancing the dreamlike quality of the composition."
Alexander Scriabin,"Fragilite, Op.51",validation,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.wav,138.4213359,"Composer:Alexander Scriabin;Title:Fragilite, Op.51","""Fragilité, Op.51"" by Alexander Scriabin is a piano solo piece known for its rich harmonies and expressive melodies. The key of the composition is B minor, which gives it a poignant and introspective character. The melody of the piece unfolds with delicate and ethereal passages, evoking a sense of fragility and vulnerability. Scriabin's signature style is present in the composition, featuring lush harmonies, chromaticism, and impressionistic elements. Typical chord progressions in ""Fragilité, Op.51"" include sequences of suspensions and resolutions, creating tension and release throughout the piece."
Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9",train,2008,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.wav,463.6053056,"Composer:Alexander Scriabin;Title:Prelude and Nocturne for Left Hand, Op. 9","The Prelude and Nocturne for Left Hand, Op. 9 by Alexander Scriabin is a captivating piano piece known for its expressive melodies and complex harmonies. Written specifically for the left hand, it showcases Scriabin's mastery of piano technique and his characteristic use of chromaticism. The piece features a rich and lush melody, with a melancholic and dreamy atmosphere that evolves throughout the composition. It incorporates lush chord progressions typical of late Romantic era music, creating a sense of emotional depth and intensity."
Alexander Scriabin,Sonata No. 2,train,2006,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.wav,613.737367,Composer:Alexander Scriabin;Title:Sonata No. 2,"Sonata No. 2 by Alexander Scriabin is a key work in the composer's repertoire. The melody of this piece exhibits a cohesive blend of romantic and impressionistic styles, transporting listeners through a range of emotions. Scriabin's characteristic use of rich harmonies and chromatic chord progressions adds a sense of tension and drama, enhancing the overall expressiveness of the composition."
Alexander Scriabin,"Sonata No. 9, Op. 68",test,2009,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.wav,520.1397042,"Composer:Alexander Scriabin;Title:Sonata No. 9, Op. 68","Sonata No. 9, Op. 68 by Alexander Scriabin, also known as the ""Black Mass Sonata,"" is a formidable composition in the key of Black Mass, a tonal system created by Scriabin himself. The melody in this sonata ranges from mystical and meditative to intense and dissonant, showcasing Scriabin's unique harmonic language. The style of the piece can be described as highly expressive and emotionally charged, with virtuosic passages and intricate ornamentation. Typical chord progressions found in this sonata include chromatic and whole-tone sequences, which contribute to its dark and enigmatic atmosphere."
Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass""",test,2018,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi,2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav,520.2158259,"Composer:Alexander Scriabin;Title:Sonata No. 9, Op. 68, ""Black Mass""","""Sonata No. 9, Op. 68, 'Black Mass' by Alexander Scriabin is a haunting and dramatic piano composition. The key of the piece is in E major, giving it a bold and powerful tonality. The melody is characterized by its intense and dissonant harmonies, creating a sense of tension and darkness throughout.""

""The style of 'Black Mass' can be described as late Romantic, influenced by the impressionistic movement. Scriabin showcases his unique musical language in this piece, exploring complex harmonies and lush textures. The use of chromaticism and unconventional chord progressions adds to the unsettling and mysterious atmosphere of the composition.""

""Typical chord progressions in 'Black Mass' involve the use of augmented and diminished chords, creating a sense of dissonance and instability. Scriabin's mastery of harmony is evident as he weaves these chords together to form striking and otherworldly soundscapes. Overall, Sonata No. 9, Op. 68, 'Black Mass' is a powerful and evocative piano piece that showcases Scriabin's innovative approach to composition."""
Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.wav,365.6553502,"Composer:Alexander Scriabin;Title:Two Impromptus, Op. 14 (Complete)","The Two Impromptus, Op. 14 by Alexander Scriabin are captivating piano pieces in the Romantic era. In these compositions, Scriabin skillfully portrays the key of F-sharp major in a rich and expressive manner. The melodies beautifully flow with intricate arpeggios and passionate lyrical phrases, showcasing Scriabin's unique musical language. The style of these impromptus can be described as intensely emotional, with moments of both power and introspection. The chord progressions in these pieces often feature lush and harmonically complex voicings, creating a sense of dreamy and ethereal atmosphere."
Alexander Scriabin,"Waltz, Op. 38",validation,2014,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.wav,319.9102036,"Composer:Alexander Scriabin;Title:Waltz, Op. 38","Scriabin's Waltz, Op. 38 is an enchanting piano piece characterized by its elegant and flowing melody. In the key of F-sharp major, this waltz evokes a dreamy and romantic atmosphere, with its delicate and graceful dance-like rhythm. Scriabin's signature chromatic harmonies and lush chord progressions add depth and complexity to the composition, elevating it to a hypnotic and ethereal experience."
Anton Arensky,"Piano Trio in D Minor, Op. 32",train,2018,2018/MIDI-Unprocessed_Chamber2_MID--AUDIO_09_R3_2018_wav--3.midi,2018/MIDI-Unprocessed_Chamber2_MID--AUDIO_09_R3_2018_wav--3.wav,1736.586137,"Composer:Anton Arensky;Title:Piano Trio in D Minor, Op. 32","Anton Arensky's Piano Trio in D Minor, Op. 32 is a captivating and expressive piece. The key of D minor enhances the melancholic and dramatic atmosphere of the composition. The melody dances between hauntingly beautiful passages and powerful, emotionally charged themes, showcasing Arensky's skill in crafting memorable musical lines. The style of the piece can be described as Romantic, with lush harmonies, virtuosic piano passages, and intricate interplay between the piano and the accompanying strings. Typical chord progressions in this piano trio include rich and colorful harmonies, often incorporating chromaticism and suspensions to create tension and resolution in the music."
Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements",train,2008,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.wav,939.1336763,"Composer:Carl Maria von Weber;Title:Sonata No. 1, 2nd, 3rd and 4th movements","The Sonata No. 1 by Carl Maria von Weber consists of four movements. In the second movement, expect a captivating and melodic theme that prominently features the piano's higher register. The style of this movement leans towards the classical era, showcasing elegance and clarity in its composition. Typical chord progressions in this piece often include variations of I-IV-V-I, providing a balanced harmonic structure throughout the movement."
Charles Gounod / Franz Liszt,Faust Waltz,train,2006,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi,2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.wav,557.392605,Composer:Charles Gounod / Franz Liszt;Title:Faust Waltz,"The ""Faust Waltz"" is actually a piano transcription by Franz Liszt of Charles Gounod's orchestral piece from the opera ""Faust"". It is a grand and romantic waltz that showcases Liszt's virtuosity and Gounod's beautiful melodies. The piece combines the allure of the waltz genre with Liszt's expressive and dramatic piano writing, featuring sweeping arpeggios, cascading runs, and rich harmonies that highlight the romanticism of the original opera. The chord progressions often include lush and romantic harmonies, with frequent modulations that enhance the emotional quality of the piece."
Claude Debussy,"""Feux d'artifice"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.wav,242.7521611,"Composer:Claude Debussy;Title:""Feux d'artifice"" from Book II","""Feux d'artifice"" from Book II by Claude Debussy is a dazzling and vibrant piano piece. It is in the key of D major, which lends a sense of brightness and liveliness to the composition. The melody in ""Feux d'artifice"" is characterized by cascading arpeggios and rapid passages, representing the fireworks it depicts. Emanating the impressionistic style of Debussy, the piece showcases characteristic chord progressions like unresolved suspensions, whole-tone harmonies, and parallel chords, creating a dreamlike and ethereal atmosphere."
Claude Debussy,"""Images"", Series I",train,2013,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi,2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.wav,918.0212508,"Composer:Claude Debussy;Title:""Images"", Series I","""Images,"" Series I by Claude Debussy is a collection of three pieces for solo piano. The key elements in these pieces are Debussy's innovative and impressionistic approach to harmony and texture. The melodies are characterized by their fluidity and delicate beauty, often evoking vivid imagery. The style of ""Images"" combines elements of Impressionism and Symbolism, creating dreamy and atmospheric landscapes. Typical chord progressions in these pieces include rich and colorful harmonies, often utilizing extended chords and unconventional voicings to create a lush and evocative sound."
Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.wav,166.49556,"Composer:Claude Debussy;Title:""Les collines d'Anacapri"" from Preludes, Book I","""Les collines d'Anacapri"" by Claude Debussy is a mesmerizing piano piece from his Preludes, Book I. In this composition, Debussy showcases his unique impressionist style, characterized by rich harmonies and delicate textures. The key of the piece is E major, creating a bright and lively atmosphere. The melody is characterized by playful and lively motifs that dance across the keyboard, evoking the rolling hills of Anacapri. Debussy's signature chord progressions, such as unresolved suspensions and parallel chords, add an enchanting and dreamlike quality to this captivating piano piece."
Claude Debussy,"""Ondine"" from Book II",train,2008,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi,2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.wav,193.3010888,"Composer:Claude Debussy;Title:""Ondine"" from Book II","""Ondine"" from Book II, composed by Claude Debussy, is a mesmerizing piano piece that vividly captures the essence of water nymphs. The key of the song is G major, evoking a sense of freshness and tranquility. The melody flows gracefully with delicate arpeggios and cascading passages, characteristic of Debussy's impressionistic style. The piece possesses a dreamy and ethereal quality, often utilizing chromatic harmonies and Debussy's signature whole-tone scale. The chord progressions in ""Ondine"" frequently involve modulations that create subtle harmonic shifts, adding depth to the composition."
Claude Debussy,"""Voiles"" from Preludes, Book I",train,2008,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi,2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.wav,212.2954608,"Composer:Claude Debussy;Title:""Voiles"" from Preludes, Book I","""Voiles"" by Claude Debussy is a captivating piano piece from his Preludes, Book I. The key of the piece is D♭ major, known for its dark and mysterious tonality. The melody exudes an ethereal and drifting quality, often characterized by swirling and ambiguous harmonies. It showcases Debussy's signature impressionistic style, with its elusive and atmospheric textures. The typical chord progressions in ""Voiles"" involve lush and dissonant harmonies, providing a sense of tension and allure throughout the piece."
Claude Debussy,"Barcarolle, Op. 60",train,2015,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi,2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.wav,482.7552083,"Composer:Claude Debussy;Title:Barcarolle, Op. 60","""Barcarolle, Op. 60"" by Claude Debussy is a beautiful piano piece characterized by its dreamy and gentle melody. Written in the key of F-sharp major, it evokes a sense of serenity and tranquility, reminiscent of a slow boat ride on calm waters. The piece is composed in a barcarolle style, influenced by Venetian boat songs, with a flowing and lyrical melody. Typical of Debussy's style, the chord progressions in this piece are rich and chromatic, creating lush and atmospheric harmonies to complement the serene melody."
Claude Debussy,Bruyeres,train,2006,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.midi,2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.wav,984.5275945,Composer:Claude Debussy;Title:Bruyeres,"""Bruyères"" is a piano piece composed by Claude Debussy. It is a part of his piano collection called ""Preludes."" The key of the piece is F-sharp major, which gives it a warm and expressive character. The melody in ""Bruyères"" is delicate and lyrical, featuring flowing arpeggios and gentle leaps that beautifully portray the image of heather-covered landscapes. In terms of style, Debussy's impressionistic touch shines through, with hints of both romanticism and modernism. The typical chord progressions used in this piece include lush harmonies with rich suspensions and added ninths, contributing to its dreamlike and evocative atmosphere."
Claude Debussy,Estampes (Complete),test,2014,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.midi,2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.wav,849.0309352,Composer:Claude Debussy;Title:Estampes (Complete),"Estampes by Claude Debussy is a stunning collection of three piano pieces: Pagodes, La soirée dans Grenade, and Jardins sous la pluie. Each piece showcases Debussy's unique impressionistic style, characterized by virtuosic melodies, rich harmonies, and evocative textures. The key signature varies across the three pieces, but they are mostly in D-flat major and F-sharp major. The melodies are often filled with delicate nuances, depicting the subtle atmospheres of pagodas, the vibrant streets of Granada, and the playful dance of rain in gardens. Debussy's harmonies are lush and colorful, employing whole-tone scales and parallel chords to create a dreamlike atmosphere. The typical chord progressions in Estampes involve chromatic shifts, modal mixture, and extended chords, adding to the harmonic complexity and evocative nature of the music."
Claude Debussy,"Etude ""Pour le arpeges composes""",train,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.wav,274.6711997,"Composer:Claude Debussy;Title:Etude ""Pour le arpeges composes""","""Etude ""Pour les arpeges composes"""" is a piano piece composed by Claude Debussy. The key of this piece is E-flat major, which contributes to its dreamy and ethereal atmosphere. Its melody features cascading arpeggios that delicately weave together, creating a sense of lightness and fluidity. The style of this etude is impressionistic, showcasing Debussy's innovative use of harmonies and tonal colors. Typical chord progressions in this piece include lush and colorful extended chords, often used in unconventional ways to evoke a sense of ambiguity and mystery."
Claude Debussy,"Etude ""Pour les accords""",test,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.wav,270.703522,"Composer:Claude Debussy;Title:Etude ""Pour les accords""","""Etude ""Pour les accords"" is a piece composed by Claude Debussy. Key signature-wise, it is written in G major, providing a bright and uplifting tonality. The melody is characterized by flowing arpeggios and broken chords, showcasing technical mastery and control over the keyboard. This piece falls under the impressionist style, known for its delicate and atmospheric qualities. Typical chord progressions include sequences of major and minor chords, as well as chromatic harmonies, creating a rich and expressive harmonic palette."""
Claude Debussy,"Etude ""Pour les huit doigts""",train,2009,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.midi,2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.wav,90.99616969,"Composer:Claude Debussy;Title:Etude ""Pour les huit doigts""","""Pour les huit doigts"" is a piano etude composed by Claude Debussy. This piece showcases a unique and challenging finger technique, as it is primarily focused on using only eight fingers instead of the usual ten. The melody is delicate and evocative, with Debussy's characteristic use of impressionistic harmonies and flowing arpeggios. The style of this etude is reflective of Debussy's impressionistic period, with lush harmonies, rich textures, and a dreamlike atmosphere. The chord progressions in ""Pour les huit doigts"" often feature modal inflections and unexpected harmonic shifts, adding to the ethereal and enchanting nature of the piece."
